date,open,high,low,close,volume,amount
2024-11-22,45.3188,45.6606,43.0724,43.3165,58535392.0,2644888384.0
2024-11-25,44.1956,45.6118,44.0491,45.2699,71755358.0,3307043239.0
2024-11-26,45.0746,45.7094,44.8304,45.6606,31561276.0,1466138193.0
2024-11-27,45.6118,47.028,44.9769,46.6373,28594343.0,1348054688.0
2024-11-28,47.1745,47.321,46.1001,46.2955,25605195.0,1221042932.0
2024-11-29,46.2466,48.0047,46.0025,47.0768,26149598.0,1259346664.0
2024-12-02,47.1257,47.7605,46.5885,47.4675,21154175.0,1022866690.0
2024-12-03,47.4675,48.3465,46.5885,47.5163,30972770.0,1507877129.0
2024-12-04,47.5163,47.5163,45.8559,46.1978,42593097.0,2014524755.0
2024-12-05,45.7583,46.1001,45.2699,45.6606,22707576.0,1061899168.0
2024-12-06,45.8071,46.8815,45.3676,46.4908,66966648.0,3179616070.0
2024-12-09,45.8071,47.321,44.6351,47.321,87807322.0,4142334572.0
2024-12-10,48.9325,48.9325,46.0513,46.0513,73358238.0,3546205140.0
2024-12-11,46.3443,47.0768,45.1723,45.5141,42187979.0,1989192717.0
2024-12-12,45.4653,47.2722,45.3188,46.6373,42901499.0,2043506215.0
2024-12-13,46.149,46.2955,45.1723,45.4164,34492088.0,1610821411.0
2024-12-16,45.4164,45.4653,43.7072,43.9514,36946944.0,1674428037.0
2024-12-17,43.8049,45.2211,43.6584,44.1467,22482278.0,1017681070.0
2024-12-18,44.7327,44.9281,44.3421,44.5374,14453420.0,659990302.0
2024-12-19,43.9514,44.4886,43.5607,44.1467,23694081.0,1066691154.0
2024-12-20,44.0002,44.2932,41.6561,41.7538,84367587.0,3658180305.0
2024-12-23,41.9003,42.3398,41.0701,41.4608,40404204.0,1712503239.0
2024-12-24,41.5096,42.1933,41.1678,42.0468,15386792.0,657166031.0
2024-12-27,42.1445,42.4375,40.9236,41.2655,28826147.0,1220043917.0
2024-12-30,41.3631,41.5585,40.6306,40.9236,23349571.0,978567954.0
2024-12-31,40.5818,40.826,40.2399,40.3864,17333170.0,719634589.0
2025-01-02,40.2399,40.3864,39.5074,39.6051,29270907.0,1191661061.0
2025-01-03,39.6051,40.2888,39.2632,39.8493,24754265.0,1007359299.0
2025-01-06,40.0446,40.1911,38.8237,39.3609,32397026.0,1300078697.0
2025-01-07,39.2632,39.7028,38.8726,39.7028,23995447.0,964592610.0
2025-01-08,39.7516,39.8493,38.9214,39.1167,19945229.0,802196805.0
2025-01-09,38.9702,39.6051,38.8726,39.1167,17953352.0,719702900.0
2025-01-10,39.3609,39.8004,38.2377,38.433,24510361.0,972204375.0
2025-01-13,37.7005,38.0424,37.261,37.8959,16426620.0,634109875.0
2025-01-14,37.9447,40.3864,37.8959,39.7516,35811756.0,1446231969.0
2025-01-15,39.6539,39.7516,39.0679,39.2632,24461374.0,985056925.0
2025-01-16,39.9958,41.119,39.4097,39.8493,26695765.0,1099319506.0
2025-01-17,39.7516,40.3864,39.4097,39.8004,15044740.0,614212306.0
2025-01-20,40.9725,41.3143,40.3376,40.4353,26033180.0,1086417218.0
2025-01-21,40.826,41.0213,39.9469,40.5329,21259665.0,880828133.0
2025-01-22,40.0446,40.2399,39.1656,39.5074,23821319.0,962741158.0
2025-01-23,39.6051,40.4353,38.8726,39.1656,22982801.0,928528205.0
2025-01-24,39.2632,40.0446,38.9702,39.6051,25046616.0,1016409330.0
2025-01-27,39.7028,41.8515,39.7028,41.119,56237879.0,2363175618.0
2025-01-28,41.6073,41.8027,40.6306,41.119,10965580.0,461585111.0
2025-02-03,40.4353,40.7283,38.433,40.6795,33069351.0,1345337696.0
2025-02-04,41.412,43.1212,41.2166,43.0724,51261036.0,2226727119.0
2025-02-05,43.0724,45.3188,42.1445,44.3421,85069542.0,3839116432.0
2025-02-06,44.1467,44.6839,43.17,44.4886,43989366.0,1982275170.0
2025-02-07,44.4886,46.0513,44.2444,45.2211,61022697.0,2828524867.0
2025-02-10,45.8559,47.0768,45.7583,46.5396,59135811.0,2820867912.0
2025-02-11,46.9792,47.2722,44.4397,44.7327,48419151.0,2247655693.0
2025-02-12,45.3188,45.7583,44.5862,45.6606,41173182.0,1912689395.0
2025-02-13,46.5885,52.937,46.2466,48.5419,198597810.0,10105937330.0
2025-02-14,50.1534,52.2533,48.786,52.2533,140250039.0,7301391702.0
2025-02-17,54.8416,56.2089,50.9348,52.351,127754797.0,6986378530.0
2025-02-18,52.4487,58.4065,51.765,57.381,184264567.0,10588630052.0
2025-02-19,56.8438,58.4553,55.4764,57.5275,83936448.0,4885378173.0
2025-02-20,56.3554,56.9903,52.6928,53.1323,115746336.0,6393994097.0
2025-02-21,55.5253,57.0391,52.3998,57.0391,152250900.0,8582275657.0
2025-02-24,55.5741,55.9648,53.23,53.8649,89601651.0,4977756056.0
2025-02-25,51.0324,53.0835,50.9836,52.1068,72024031.0,3838986652.0
2025-02-26,52.2533,55.1346,52.2045,54.1579,72873716.0,4025527541.0
2025-02-27,53.9625,54.2555,51.5208,52.351,80168273.0,4312749737.0
2025-02-28,52.058,52.058,48.786,49.4209,84440680.0,4328420951.0
2025-03-03,49.6651,50.8859,48.7372,49.5674,49245571.0,2512950471.0
2025-03-04,48.2489,49.9092,48.0047,49.4209,36668745.0,1843567330.0
2025-03-05,50.2999,51.5208,48.7372,51.3255,50583769.0,2612704085.0
2025-03-06,54.4997,60.3111,53.7672,59.3832,195071767.0,11533607784.0
2025-03-07,59.3832,63.8272,58.3577,62.2156,162826250.0,10307690885.0
2025-03-10,62.997,64.169,59.7251,61.6296,94292126.0,5957784876.0
2025-03-11,59.5785,65.9271,58.7972,64.8039,116391050.0,7546815908.0
2025-03-12,65.9271,67.2945,62.5575,64.3155,82546484.0,5469265160.0
2025-03-13,64.462,64.9504,60.3111,61.825,73943639.0,4684129908.0
2025-03-14,62.8993,64.8039,61.3366,63.3877,60534096.0,3932705241.0
2025-03-17,63.3877,64.0714,61.3366,62.0203,44838325.0,2857675735.0
2025-03-18,64.462,65.9271,63.583,64.755,53396321.0,3529530185.0
2025-03-19,64.3644,65.2434,63.0947,64.169,34996748.0,2297965315.0
2025-03-20,63.7295,64.0225,60.7506,61.1901,56017364.0,3555662262.0
2025-03-21,60.3599,60.9459,57.3321,57.9182,79006323.0,4744506234.0
2025-03-24,57.8693,57.8693,55.3299,57.5275,53715705.0,3112872141.0
2025-03-25,56.6485,57.0391,55.0857,55.4764,38472546.0,2189326910.0
2025-03-26,55.0369,55.7694,52.1556,54.5486,93958039.0,5190865559.0
2025-03-27,54.6951,55.9648,53.3277,55.2811,54894023.0,3087724635.0
2025-03-28,56.2089,57.4298,54.3532,54.7927,50859018.0,2894262643.0
2025-03-31,54.2067,54.4997,52.0091,53.0835,48089971.0,2603919209.0
2025-04-01,53.7672,55.4764,53.0347,54.8416,51349491.0,2870674777.0
2025-04-02,54.8416,56.795,54.4021,56.1113,44077140.0,2530436918.0
2025-04-03,54.7439,55.7694,53.9137,54.8904,40495979.0,2265663742.0
2025-04-07,48.2489,48.6395,43.9514,44.4886,132293806.0,6256827034.0
2025-04-08,45.2211,46.3931,43.17,44.8793,100513691.0,4623677479.0
2025-04-09,43.0724,46.442,41.9003,45.5141,94057932.0,4271438406.0
2025-04-10,47.1257,49.6162,46.3931,47.2233,80237970.0,3928355675.0
2025-04-11,47.028,49.2744,46.6373,48.2977,46054047.0,2275411240.0
2025-04-14,49.7627,50.2023,48.6395,49.1767,40360675.0,2039162802.0
2025-04-15,50.2999,50.8859,48.0047,50.0069,52402453.0,2658661565.0
2025-04-16,48.9325,49.7627,46.5885,47.5652,52189559.0,2537372874.0
2025-04-17,47.5652,49.2744,47.4675,48.8837,27882014.0,1390377112.0
2025-04-22,48.8837,49.9092,48.3465,48.8837,36841799.0,1848195178.0
2025-04-23,50.7394,51.0813,49.8604,50.5929,34563155.0,1786133594.0
2025-04-24,50.1046,50.7394,48.3954,49.2744,36794389.0,1855168277.0
2025-04-25,49.9092,51.472,49.3721,49.5674,39829224.0,2053115988.0
2025-04-28,49.8116,49.9581,49.2256,49.4697,12877601.0,654195125.0
2025-04-29,49.7627,50.3976,49.0791,49.6162,22048737.0,1120761771.0
2025-04-30,49.6651,50.7394,49.4209,50.3976,18306485.0,941695497.0
2025-05-02,50.3976,52.351,50.0557,51.5208,19288562.0,1020020418.0
2025-05-06,52.351,53.3277,51.6185,52.2533,32300749.0,1733041676.0
2025-05-07,55.1834,55.1834,51.765,51.8138,35170435.0,1904216937.0
2025-05-08,51.8138,52.644,51.2278,52.0091,19817495.0,1056009453.0
2025-05-09,52.3022,52.3022,49.9092,50.7883,23237372.0,1207515942.0
2025-05-12,51.9115,54.8904,51.179,53.9137,45411990.0,2471981191.0
2025-05-13,53.4254,53.523,51.2766,51.4231,38157456.0,2029959848.0
2025-05-14,51.6673,52.1556,50.7883,51.8138,33551651.0,1766951530.0
2025-05-15,51.5208,51.7161,50.3976,50.7394,22208037.0,1157292862.0
2025-05-16,50.0557,50.3976,48.6884,49.6651,33992302.0,1721827183.0
2025-05-19,49.2256,49.2256,47.7605,48.5419,38301184.0,1898037960.0
2025-05-20,48.786,49.3232,48.2,48.7372,24243894.0,1211989824.0
2025-05-21,48.6884,49.7139,48.5907,49.1767,22763052.0,1148005022.0
2025-05-22,48.6884,48.786,47.4675,47.7117,37660463.0,1844921850.0
2025-05-23,47.8582,48.2977,47.1257,47.614,28201032.0,1375763723.0
2025-05-26,47.3698,47.9558,46.6373,47.3698,27962201.0,1354279296.0
2025-05-27,47.3698,48.2,47.1745,47.614,26570116.0,1296732379.0
2025-05-28,50.6906,50.9836,49.0302,50.4464,76857212.0,3944499534.0
2025-05-29,50.7883,53.2789,50.6418,52.937,70158966.0,3736848859.0
2025-05-30,52.7417,52.7417,51.4231,52.058,38005610.0,2022066299.0
2025-06-02,50.5929,51.3255,48.8837,51.2278,24284744.0,1249513553.0
2025-06-03,51.6673,52.3022,49.4697,50.0069,43268609.0,2229319733.0
2025-06-04,49.6651,50.9836,49.4209,50.6906,30988572.0,1603185645.0
2025-06-05,51.4231,54.1579,50.8859,53.23,64023855.0,3481395490.0
2025-06-06,53.4742,58.26,53.23,57.7228,155364645.0,9025149467.0
2025-06-09,58.5042,61.825,58.4065,60.9459,108633090.0,6719314382.0
2025-06-10,62.5086,62.5086,59.1879,60.0669,74858035.0,4638534455.0
2025-06-11,60.4576,61.5808,59.4809,60.7506,51654518.0,3211175591.0
2025-06-12,59.7739,60.3599,56.8438,57.1856,75802499.0,4493339875.0
2025-06-13,56.1601,57.8205,55.6229,56.6485,45675539.0,2637897387.0
2025-06-16,56.4531,59.0902,55.8183,58.6019,47517369.0,2802446162.0
2025-06-17,58.7972,59.139,57.5275,58.0158,25379156.0,1510483134.0
2025-06-18,57.1856,57.4298,56.1113,56.8438,20269891.0,1175275221.0
2025-06-19,56.6485,56.6485,54.4021,54.9881,32742037.0,1849712909.0
2025-06-20,54.9881,55.5741,54.6951,55.1346,21775904.0,1228073747.0
2025-06-23,54.4997,56.7461,54.1579,56.3066,22337520.0,1276372067.0
2025-06-24,57.1368,58.5042,56.4531,58.0647,35634270.0,2107997137.0
2025-06-25,58.6019,59.5785,58.1135,58.4065,29555672.0,1776209908.0
2025-06-26,57.8693,60.8971,57.674,60.3111,51535273.0,3168156686.0
2025-06-27,61.1413,62.6063,60.2134,61.3366,53669220.0,3384614389.0
2025-06-30,61.3366,63.4853,61.2878,61.825,38416566.0,2465292430.0
2025-07-02,62.6063,63.1923,59.8227,60.1157,36123561.0,2243225719.0
2025-07-03,60.5552,60.9948,58.7484,59.6762,29676874.0,1805576005.0
2025-07-04,59.4809,62.2645,58.4065,60.4576,37352933.0,2302683098.0
2025-07-07,61.0436,62.5086,60.5064,61.5319,33515444.0,2112910059.0
2025-07-08,61.7273,64.9016,61.6784,64.7062,53842840.0,3518414450.0
2025-07-09,64.462,64.9016,62.4598,63.2412,26510795.0,1724454865.0
2025-07-10,63.4853,63.583,61.8738,62.9482,24605823.0,1580342212.0
2025-07-11,62.9482,64.3644,60.0669,61.6784,46731687.0,2974697424.0
2025-07-14,62.0203,63.9249,61.9226,63.7295,26875715.0,1743546860.0
2025-07-15,63.7295,66.7573,63.6807,66.5619,51034913.0,3425706771.0
2025-07-16,67.6851,69.2479,67.2456,67.9781,57188105.0,4001366110.0
2025-07-17,67.4898,68.4665,66.8061,67.5386,30068040.0,2080386454.0
2025-07-18,68.7107,70.3222,67.2945,69.0525,45613544.0,3220545807.0
2025-07-21,70.1757,70.8106,68.7107,69.785,36007261.0,2568030092.0
2025-07-22,69.5409,72.3733,69.492,71.0547,38402289.0,2796200379.0
2025-07-23,71.9338,77.0126,71.3966,76.0847,79279566.0,6068994874.0
2025-07-24,76.5243,78.087,74.0825,74.4244,65945996.0,5122165633.0
2025-07-25,73.2523,73.7895,70.3711,70.8106,67591246.0,4952351257.0
2025-07-28,71.2501,72.3245,69.8339,71.0059,40443486.0,2939534535.0
2025-07-29,70.6152,71.0059,68.7595,70.4199,45509867.0,3242401404.0
2025-07-30,70.5176,72.1779,69.3944,70.7129,40098176.0,2910096283.0
2025-07-31,70.8106,77.1591,70.3711,75.2057,88972514.0,6808259207.0
2025-08-01,76.1824,77.1591,72.471,72.8616,53555156.0,4066624249.0
2025-08-04,71.8849,75.6941,71.0547,75.2057,43768700.0,3331851738.0
2025-08-05,76.7196,77.8428,74.522,77.3056,51599683.0,4041572225.0
2025-08-06,77.5009,78.7218,76.1336,78.0381,35948430.0,2856216289.0
2025-08-07,79.1125,79.7474,76.8661,78.1358,32644385.0,2616226723.0
2025-08-08,77.5986,78.2335,76.4266,77.3056,25022120.0,1976307260.0
2025-08-11,77.4521,78.6242,75.9871,77.0614,25609832.0,2013371643.0
2025-08-12,76.2312,76.6219,69.199,69.9315,113868221.0,8343250140.0
2025-08-13,71.1036,73.2523,70.3222,73.2035,52707265.0,3881113577.0
